HINQ302_Migration_Data_assessment_2.1
HINQ302_Migration_Data_assessment_2.1,,,,,,,,,,,,,,,,,
unique_identifier,city_origin,ship_name,travel_class,first_name,second_name,age_years,date_disembarked,day_disembarked,month_disembarked,year_disembarked,gender-type,race_group,occupation_type,destination_city,deck_number,,comment_data_and_sources
0,southampton,olympic,third,lynzie,medina,10,17/04/1912,17,4,1912,male,hispanic,weaver,new york,5,,
1,liverpool,celtic,third,jason,santillan,33,20/04/1912,20,4,1912,male,black,mason,new york,4,,
2,southampton,titanic,third,audrey,ebel,16,20/04/1912,20,4,1912,male,black,tailor,new york,2,,
3,liverpool,mauretania,second,christian,rodrukkwun,15,18/04/1912,18,4,1912,female,other,merchant,new york,2,,
4,liverpool,celtic,third,daniel,newbern,44,18/04/1912,18,4,1912,male,white,blacksmith,new york,1,,
5,liverpool,lusitania,first,garrett,emm,1,17/04/1912,17,4,1912,female,asian,shoemaker,cherbourg,4,,
6,liverpool,carpathia,second,kevin,naylon,16,18/04/1912,18,4,1912,male,asian,tailor,new york,1,,
7,liverpool,lusitania,second,hannah,canaday,13,15/04/1912,15,4,1912,female,other,tailor,new york,1,,
8,southampton,britannic,second,lindsey,holiday,3,16/04/1912,16,4,1912,female,asian,carpenter,new york,1,,
9,liverpool,lusitania,third,farhaana,al-ramin,72,20/04/1912,20,4,1912,female,asian,none,new york,3,,
10,southampton,britannic,first,jacob,yates,83,18/04/1912,18,4,1912,male,hispanic,miner,new york,2,,
11,liverpool,adriatic,first,suwailim,al-hallal,26,20/04/1912,20,4,1912,male,black,mason,new york,3,,
12,liverpool,baltic,third,april,sanders,87,16/04/1912,16,4,1912,male,white,carpenter,new york,2,,
13,liverpool,mauretania,first,valerie,dedera,48,16/04/1912,16,4,1912,male,asian,farmer,new york,3,,
14,southampton,titanic,second,eddy,meadows,37,19/04/1912,19,4,1912,male,black,merchant,new york,1,,
15,liverpool,baltic,first,tareia,jones,98,16/04/1912,16,4,1912,male,white,weaver,new york,2,,
16,liverpool,mauretania,first,taqiyya,el-eid,10,17/04/1912,17,4,1912,male,hispanic,miner,cherbourg,3,,
17,southampton,titanic,third,sepehr,essad,3,18/04/1912,18,4,1912,male,white,none,new york,3,,
18,liverpool,aquitania,first,andrew,chavarria,63,16/04/1912,16,4,1912,female,asian,none,new york,2,,
19,southampton,britannic,first,armaan,andrew,1,16/04/1912,16,4,1912,male,asian,blacksmith,new york,1,,
20,southampton,britannic,second,peter,duncan,24,15/04/1912,15,4,1912,female,other,weaver,new york,4,,
21,liverpool,celtic,second,naasiruddeen,el-maroun,no data,17/04/1912,17,4,1912,male,other,merchant,new york,2,,
22,southampton,britannic,third,michael,anderstrom,47,16/04/1912,16,4,1912,male,black,miner,new york,3,,
23,southampton,olympic,third,fateena,el-akhter,16,18/04/1912,18,4,1912,female,white,shoemaker,new york,5,,
24,liverpool,mauretania,third,philip,wood,3,20/04/1912,20,4,1912,male,hispanic,blacksmith,new york,2,,
